# Nombre de domaine(s)
4
#
# Kxx et Kyy
1 1
#
# Kxx et Kyy
1 1
#
# Kxx et Kyy
1 1
#
# Kxx et Kyy
1 1
#
# Nombre de conditions aux limites différentes
2
#
# Nombre d'éléments-frontières et type  de chaque "conditions aux limites"
12.  1.
12.  2.
# Nombre d'éléments-frontières et type de chaque "conditions aux limites"
#
# Numéro global des éléments frontières de type 1 et valeur correspondante...
13  2
14  1.75
15  1.5
16  1.25
17  1
18  .75
19  .5
20  .25
21  .1
22  .1
23  .1
24  .1
#
# Numéro global des éléments frontières de type 2 et valeur correspondante...
1  -.25
2  -.5
3  -.75
4  -1
5  1
6  .8
7  .6
8  .5
9  .4
10  .2
11  .1 
12  .1				
# Fonction F(x,y)
# a0 + a1*X + a2*Y +  a3*X² + a4*Y² + a5*XY + a6*cos(X) + a7*cos(Y) + a8*sin(X) + a9*sin(Y) + a10*exp(X) + a11*exp(Y)
0
